urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,city,published,expire,date_scrapped,seen,anon_user
0,0,0,1,210,0,0,0,0,electribe,korg electribe s mk2 ,Valencia,2019/06/19,2022/09/28,2022/09/01,1911,657
0,0,0,1,125,0,0,0,0,-,maleta sintetizador 61 aluminio ,Murcia,2022/05/28,2022/09/25,2022/09/01,413,433
0,0,0,1,70,0,0,0,0,yamaha,flightcase yamaha p 80 ,Madrid,2022/04/11,2022/10/01,2022/09/01,497,1419
0,0,0,1,119,0,0,0,0,yamaha,yamaha rev 500 ,Girona,2021/12/23,2022/09/23,2022/09/01,846,637
0,0,1,0,0,0,0,0,0,quiklok,soporte quiklok en perfecto estado ,Tarragona,2022/07/21,2022/09/28,2022/09/01,448,1816
0,0,0,1,395,0,0,0,0,synthesis,modulo eurorack synthesis technology e560 deflector shield ,Madrid,2020/09/12,2022/10/27,2022/09/01,581,560
0,1,0,0,0,0,0,0,0,-,monsoon o similar ,Pontevedra,2022/08/31,2022/10/30,2022/09/01,58,964
0,0,0,1,100,0,0,0,0,eurorack,toms 000 eurorack ,Madrid,2022/07/22,2022/10/01,2022/09/01,340,1419
0,0,0,1,310,0,0,0,0,fairfield,fairfield circuitry meet maude analog delay ,Madrid,2022/06/19,2022/09/29,2022/09/01,458,834
0,0,0,1,379,0,0,0,0,roland,roland mc 101 ,Girona,2021/06/09,2022/09/23,2022/09/01,420,637
0,0,0,1,495,0,0,0,0,roland,roland xv 5080 actualizado ,Málaga,2022/02/05,2022/10/04,2022/09/01,1711,1286
0,0,0,1,600,0,0,0,0,nord lead ,clavia 1 rack - 12 voces ,Málaga,2022/07/24,2022/09/22,2022/09/01,753,1167
0,0,0,1,750,0,0,0,0,moog,sintetizador moog subsequent 25 impoluto ,Valencia,2022/08/04,2022/10/05,2022/09/01,420,2271
0,1,0,0,0,0,0,0,0,yamaha,yamaha psr-5700 ,Barcelona,2022/08/28,2022/10/28,2022/09/01,92,870
0,0,0,1,1175,0,0,0,0,roland,sintetizador roland spv-355 ,Huelva,2022/08/18,2022/10/19,2022/09/01,238,703
0,0,0,1,5200,0,0,0,0,system,verbos electronics - producer configuration system ,Granada,2022/08/29,2022/10/29,2022/09/01,166,1119
1,0,0,1,430,0,0,0,0,finegear,multi-efectos the dust collector de finegear ,Madrid,2022/05/21,2022/10/17,2022/09/01,620,398
0,0,0,1,260,0,0,0,0,-,o cambió rd 8 mki berhinger ,Alicante,2022/07/11,2022/09/09,2022/09/01,462,868
0,0,0,1,180,0,0,0,0,akai,akai eb-16 eb16 fx card 2000 3000 y xl ,Madrid,2022/05/29,2022/09/30,2022/09/01,287,1151
0,0,0,1,385,0,0,0,0,roland,roland mv30 ,Barcelona,2022/05/31,2022/09/13,2022/09/01,560,725
0,0,0,1,350,0,0,0,0,roland,roland rd300sx ,Madrid,2022/08/04,2022/09/23,2022/09/01,418,839
0,0,0,1,80,0,0,0,0,midi,native instruments maschine mark 1 controlador usb midi sin licencia ,Valencia,2021/04/11,2022/09/26,2022/09/01,1105,144
0,0,0,1,12500,0,0,0,0,arp,arp 2600 + 3620 keyboard ,Girona,2021/02/05,2022/10/30,2022/09/01,1308,637
0,1,0,0,0,0,0,0,0,eurorack,varios módulos eurorack ,Barcelona,2022/06/12,2022/09/29,2022/09/01,766,602
0,0,0,1,550,0,0,0,0,yamaha,yamaha sy77 ,Girona,2022/03/16,2022/10/04,2022/09/01,766,637
0,0,1,0,0,0,0,0,0,-,tripode pro por sintetizador ,Madrid,2022/08/01,2022/09/14,2022/09/01,332,1451
0,0,0,1,40,0,0,0,0,behringer,módulo eurorack behringer 911 envelope generator ,Madrid,2022/08/04,2022/09/22,2022/09/01,142,1273
0,0,0,1,999,0,0,0,0,synthesis,synthesis technology e370 quad morphing vco black ,Girona,2022/05/04,2022/09/30,2022/09/01,465,637
0,0,0,1,339,0,0,0,0,make noise ,phonogene ,Girona,2021/07/28,2022/10/08,2022/09/01,1003,637
0,0,0,1,370,0,0,0,0,audio,eurorack tip top audio ,Madrid,2022/08/26,2022/10/25,2022/09/01,148,726
0,0,0,1,1300,0,0,0,0,nord electro ,hp 5 ,Barcelona,2022/04/16,2022/10/30,2022/09/01,1929,767
0,0,0,1,1829,0,0,0,0,arp,arp 2600m nuevo tambien cambios ,Girona,2022/04/20,2022/09/09,2022/09/01,763,637
0,0,0,1,500,0,0,0,0,deepmind 12 ,behringer ,Madrid,2022/08/18,2022/10/18,2022/09/01,316,474
