urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen
0,0,0,1,24,0,0,0,0,-,korg t3 - tarjeta memoria ,FranZiskAner,Barcelona,2022/08/28,2022/10/27,2022/08/30,62
0,0,0,1,19,0,0,0,0,-,sonidos custom para nord lead a1 ,Kurzleader,Cuenca,2018/04/11,2022/09/02,2022/08/30,3339
0,0,0,1,400,0,0,0,0,-,yamaha sy77 + flightcase ,maxi,Baleares,2022/08/28,2022/10/27,2022/08/30,122
0,0,0,1,1800,0,0,0,0,-,hammond e-262 de 1968 ,windbass,Zaragoza,2020/06/16,2022/09/24,2022/08/30,3299
0,0,0,1,100,0,0,0,0,-,behringer 1050 mix sequencer ,polypodium,Madrid,2022/08/16,2022/09/28,2022/08/30,302
0,0,0,1,50,0,0,0,0,-,chipz modulo eurorack ,tomiwilli,Madrid,2022/04/14,2022/09/15,2022/08/30,1852
0,0,0,1,459,0,0,0,0,-,intellijel metropolis ,moog1406,Girona,2022/03/18,2022/09/20,2022/08/30,340
0,0,0,1,600,0,0,0,0,-,roland juno ds 88 ,Ricardo,Navarra,2022/07/29,2022/09/27,2022/08/30,513
0,0,0,1,59,0,0,0,0,-,yamaha master group ,moog1406,Girona,2021/06/28,2022/09/23,2022/08/30,570
0,0,0,1,1390,0,0,0,0,-,hammond m100 año 1962 ,windbass,Zaragoza,2022/06/01,2022/09/21,2022/08/30,705
0,0,0,1,1000,0,0,0,0,-,yamaha cp40 con funda y pedal original impecable! ,drumsman,Madrid,2020/10/11,2022/09/27,2022/08/30,3606
0,0,0,1,600,0,0,0,0,-,oportunidad! teclado roland exr-7 interactive arranger muy poco uso ,Frank,Barcelona,2021/11/08,2022/10/19,2022/08/30,543
0,0,0,1,80,0,0,0,0,-,e-mu proformance 1 módulo de sonidos de piano ,sergiommms,A Coruña,2022/05/11,2022/09/26,2022/08/30,451
0,0,0,1,50,0,0,0,0,-,arturia minilab mk2 ,jdarua,Baleares,2022/08/23,2022/10/20,2022/08/30,72
0,0,0,1,255,0,0,0,0,-,roland tb 3 ,moog1406,Girona,2022/02/16,2022/10/08,2022/08/30,448
0,0,0,1,600,0,0,0,0,-,teclado yamaha motif es8 - 88 teclas contrapesadas ,miscoes,Ourense,2022/08/16,2022/10/15,2022/08/30,154
0,0,0,1,800,0,0,0,0,-,access virus kc ,roy242,Valencia,2022/08/16,2022/09/28,2022/08/30,304
0,0,0,1,115,0,0,0,0,-,shakmat modular time wizard ,Marco Luque,Madrid,2022/06/07,2022/09/29,2022/08/30,313
0,0,0,1,100,0,0,0,0,-,studio electronics atc-1 2600 filter cartridge ,FZappy,Barcelona,2021/09/21,2022/09/26,2022/08/30,692
0,0,0,1,550,0,0,0,0,-,dsi evolver ,abstrack,Valencia,2021/11/02,2022/10/19,2022/08/30,1633
0,0,0,1,1850,0,0,0,0,-,leslie 122 clásico y autónomo ,windbass,Zaragoza,2021/07/10,2022/09/24,2022/08/30,1033
0,0,0,1,30,0,0,0,0,-,analogue systems rs-390 ,dorremifasol,Barcelona,2021/10/24,2022/10/20,2022/08/30,584
0,0,1,0,0,0,0,0,0,-,erica fusión vco ,gorum,Tarragona,2022/03/12,2022/09/28,2022/08/30,648
0,0,0,1,359,0,0,0,0,-,arturia minibrute 2 ,moog1406,Girona,2021/07/19,2022/09/06,2022/08/30,1578
0,0,0,1,50,0,0,0,0,-,fuente alimentación eurorack + bus board ,cvsequencer,Barcelona,2022/08/02,2022/09/25,2022/08/30,248
0,0,0,1,325,0,0,0,0,-,wersi ex10r expander with 8-bit drums 1985 ,Samsimo,Madrid,2021/04/20,2022/09/25,2022/08/30,1447
0,0,0,1,225,0,0,0,0,-,"electrovoice fx70 emulador leslie de rack, igual al dynacord dls223 ",paugui,Sevilla,2021/05/01,2022/09/18,2022/08/30,446
0,0,0,1,560,0,0,0,0,-,yamaha p-125 b ,daniello87,A Coruña,2022/07/09,2022/09/06,2022/08/30,314
0,0,1,0,199,0,0,0,0,-,elektron model cycles no ,ElmoreFreak,Las Palmas,2022/06/08,2022/09/20,2022/08/30,738
