urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
0,0,0,1,100,0,0,0,0,midi,kenton pro 2 dual channel midi to cv converter ,Ramón Giner,Valencia,2022/10/30,2022/12/29,2022/11/01,100,1174
0,0,0,1,1000,0,0,0,0,korg,korg sv-1 88 + funda ,jangrein,Madrid,2022/09/07,2022/11/06,2022/11/01,281,846
0,0,1,0,0,0,0,0,0,roland,roland s-220 sampler ,elprofesordedanza,Tarragona,2022/07/05,2022/11/23,2022/11/01,787,1816
0,0,0,1,499,0,0,0,0,-,modal argon8 ,Storm,Bizkaia,2021/03/29,2022/11/24,2022/11/01,4576,533
0,0,0,1,249,0,0,0,0,zoom,zoom arq anillo sintetizador nuevo ,moog1406,Girona,2022/06/10,2022/12/17,2022/11/01,617,637
0,0,0,1,600,0,0,0,0,yamaha,yamaha moxf 6 en perfecto estado ,Francisco,Madrid,2022/09/29,2022/11/28,2022/11/01,404,920
0,0,0,1,340,0,0,0,0,roland,roland se-02 + 5 bancos de pago ,Aguilar242,Navarra,2022/10/27,2022/12/30,2022/11/01,186,861
0,0,0,1,399,0,0,0,0,oberheim,piano oberheim mc 2000 ,jcboronat,Valencia,2022/05/05,2022/12/17,2022/11/01,518,962
0,0,0,1,930,0,0,0,0,nord lead ,3 ,Dmode,Barcelona,2022/02/12,2022/11/09,2022/11/01,716,489
0,0,0,1,450,0,0,0,0,casio,piano casio px s1000 c pedal sp-3 y funda original sc-800p ,drumsman,Madrid,2022/10/11,2022/11/30,2022/11/01,168,871
0,0,0,1,375,0,0,0,0,fred's,fred's lab tooro - sintetizador ,flake02,Madrid,2022/10/29,2022/12/28,2022/11/01,248,613
0,0,0,1,125,0,0,0,0,-,varios lectores de secuencias midifile ,Miguel Solana,Murcia,2020/12/19,2022/11/09,2022/11/01,1006,1249
0,0,0,1,285,0,0,0,0,arturia,sintetizador arturia microfreak ,rickpm,Cádiz,2022/09/24,2022/11/23,2022/11/01,194,646
0,0,0,1,1200,0,0,0,0,hammond,hammond l122 recien restaurado ,organero,Cádiz,2021/07/24,2022/11/16,2022/11/01,842,861
1,0,0,1,400,0,0,0,0,se,roland srx supreme dance expansion se admiten ofertas ,equipoestudio,Murcia,2022/10/11,2022/12/07,2022/11/01,106,1424
0,0,0,1,105,0,0,0,0,-,intellijel multi fx 1u ,Raphaël Cuevas,Córdoba,2022/09/20,2022/11/19,2022/11/01,233,1482
