urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen,anon_user
0,0,0,1,0,0,0,0,0,-,manual impreso mc909 en español ,bioroide,Madrid,2022/10/11,2023/07/02,2023/06/04,360,845
0,0,0,1,0,0,0,0,0,octatrack,octatrack mk ii ,n.roman,Valladolid,2023/04/15,2023/06/28,2023/06/04,525,697
0,0,0,1,0,0,0,0,0,hammond,hammond xk3 y leslie 2101 mki ,dfuente,Ourense,2023/03/01,2023/07/02,2023/06/04,674,747
0,1,0,0,0,0,0,0,0,erica synths ,syntrx 2 ,sasl,Valencia,2023/05/28,2023/07/26,2023/06/04,106,435
0,0,0,1,0,0,0,0,0,erica synths ,black stereo mixer v2 ,Betacam,Madrid,2023/05/21,2023/06/29,2023/06/04,142,685
0,0,0,1,0,0,0,0,0,akai,manual akai xr20 ,bioroide,Madrid,2022/10/11,2023/07/02,2023/06/04,403,845
0,0,0,1,0,0,0,0,0,instruments,squarp instruments hapax secuenciador avanzado ,Storm,Bizkaia,2023/02/23,2023/07/03,2023/06/04,645,533
0,0,0,1,0,0,0,0,0,elektron,elektron syntakt ,scsz,Toledo,2023/06/01,2023/07/31,2023/06/04,78,451
0,0,0,1,0,0,0,0,0,decksaver,ableton push 2 + decksaver ,Jorge Z,Madrid,2023/05/28,2023/07/27,2023/06/04,130,625
0,0,0,1,0,0,0,0,0,doepfer,doepfer a-100lc3v low cost case vintage edition ,Storm,Bizkaia,2022/05/25,2023/06/29,2023/06/04,1685,533
0,0,0,1,0,0,0,0,0,behringer,behringer td3 y rd6 ,Israel Gomez Talavan,Barcelona,2023/06/04,2023/08/02,2023/06/04,110,1897
0,0,0,1,0,0,0,0,0,instruments,instruments tempest ,Javier m,Córdoba,2023/02/03,2023/06/29,2023/06/04,786,750
0,1,0,0,0,0,0,0,0,erica synths ,perkons hd01 ,jostalmac,Girona,2023/04/25,2023/06/27,2023/06/04,180,958
0,0,0,1,0,0,0,0,0,novation,maleta novation ,bioroide,Madrid,2023/05/14,2023/06/29,2023/06/04,178,845
