urgent,buy,change,sell,price,gift,search,repair,parts,synt_brand,description,user,city,published,expire,date_scrapped,seen
0,0,1,0,0,0,0,0,0,-,tripode pro por sintetizador ,CreativeStudio,Madrid,2022/07/29,2022/09/14,2022/08/26,294
0,0,0,1,40,0,0,0,0,behringer,módulo eurorack behringer 911 envelope generator ,javi_randoom,Madrid,2022/08/05,2022/09/22,2022/08/26,106
0,0,0,1,999,0,0,0,0,black,synthesis technology e370 quad morphing vco black ,moog1406,Girona,2022/05/04,2022/09/16,2022/08/26,415
0,0,0,1,339,0,0,0,0,make noise ,phonogene ,moog1406,Girona,2021/07/28,2022/10/08,2022/08/26,958
0,0,0,1,370,0,0,0,0,audio,tip top audio ,Ramonet,Madrid,2022/08/26,2022/10/25,2022/08/26,38
0,0,0,1,1300,0,0,0,0,nord electro ,hp 5 ,Keyram123,Barcelona,2022/04/16,2022/08/26,2022/08/26,1877
0,0,1,0,0,0,0,0,0,roland,roland eg-101 groovekeyboard o 240€ ,TonoTNVX,Madrid,2022/04/22,2022/09/25,2022/08/26,821
0,0,0,1,1829,0,0,0,0,arp,arp 2600m nuevo tambien cambios ,moog1406,Girona,2022/04/20,2022/09/09,2022/08/26,721
0,0,0,1,500,0,0,0,0,deepmind 12 ,behringer ,JaviP,Madrid,2022/08/19,2022/10/18,2022/08/26,212
0,0,0,1,75,0,0,0,0,iomega,zip iomega 100 scsi ,cvsequencer,Barcelona,2022/08/05,2022/09/25,2022/08/26,260
0,0,0,1,315,0,0,0,0,-,basimilus iteritas alter ,Hypnosia,Lugo,2022/08/23,2022/10/22,2022/08/26,62
0,0,0,1,19,0,0,0,0,nord lead ,sonidos custom para a1 ,Kurzleader,Cuenca,2018/04/11,2022/09/02,2022/08/26,3327
0,0,0,1,1800,0,0,0,0,hammond,hammond e-262 de 1968 ,windbass,Zaragoza,2020/06/16,2022/09/24,2022/08/26,3277
0,0,0,1,100,0,0,0,0,behringer,behringer 1050 mix sequencer ,polypodium,Madrid,2022/08/12,2022/09/24,2022/08/26,268
0,0,0,1,50,0,0,0,0,eurorack,chipz modulo eurorack ,tomiwilli,Madrid,2022/04/14,2022/09/15,2022/08/26,1840
0,0,0,1,459,0,0,0,0,-,intellijel metropolis ,moog1406,Girona,2022/03/18,2022/09/20,2022/08/26,330
0,0,0,1,600,0,0,0,0,roland,roland juno ds 88 ,Ricardo,Navarra,2022/07/29,2022/09/27,2022/08/26,467
0,0,0,1,59,0,0,0,0,yamaha,yamaha master group ,moog1406,Girona,2021/06/28,2022/09/23,2022/08/26,562
0,0,0,1,1390,0,0,0,0,hammond,hammond m100 año 1962 ,windbass,Zaragoza,2022/06/01,2022/09/21,2022/08/26,671
0,0,0,1,1000,0,0,0,0,yamaha,yamaha cp40 con funda y pedal original impecable! ,drumsman,Madrid,2020/10/11,2022/09/24,2022/08/26,3571
0,0,0,1,600,0,0,0,0,roland,oportunidad! teclado roland exr-7 interactive arranger muy poco uso ,Frank,Barcelona,2021/11/08,2022/10/19,2022/08/26,535
0,0,0,1,60,0,0,0,0,behringer,oscilador arp2500 behringer ,polypodium,Madrid,2022/08/19,2022/09/24,2022/08/26,116
0,0,0,1,395,0,0,0,0,-,warldorf blofeld teclado ,taikpod,Barcelona,2022/03/10,2022/09/23,2022/08/26,1398
0,0,0,1,80,0,0,0,0,e-mu,e-mu proformance 1 módulo de sonidos de piano ,sergiommms,A Coruña,2022/05/11,2022/09/08,2022/08/26,422
0,0,0,1,50,0,0,0,0,arturia,arturia minilab mk2 ,jdarua,Baleares,2022/08/21,2022/10/20,2022/08/26,50
0,0,0,1,255,0,0,0,0,roland,roland tb 3 ,moog1406,Girona,2022/02/16,2022/10/08,2022/08/26,440
0,0,0,1,600,0,0,0,0,yamaha,teclado yamaha motif es8 - 88 teclas contrapesadas ,miscoes,Ourense,2022/08/19,2022/10/15,2022/08/26,140
0,0,0,1,800,0,0,0,0,virus,access virus kc ,roy242,Valencia,2022/08/19,2022/09/24,2022/08/26,246
0,0,0,1,115,0,0,0,0,shakmat modular ,time wizard ,Marco Luque,Madrid,2022/06/07,2022/09/24,2022/08/26,303
0,0,0,1,100,0,0,0,0,studio,studio electronics atc-1 2600 filter cartridge ,FZappy,Barcelona,2021/09/21,2022/09/22,2022/08/26,680
0,0,0,1,245,0,0,0,0,mutable,mutable instruments clouds completo ,donpuzo,Barcelona,2022/05/31,2022/08/27,2022/08/26,513
0,0,0,1,550,0,0,0,0,evolver,dsi evolver ,abstrack,Valencia,2021/11/02,2022/10/19,2022/08/26,1599
0,0,0,1,1850,0,0,0,0,-,leslie 122 clásico y autónomo ,windbass,Zaragoza,2021/07/10,2022/09/24,2022/08/26,1023
0,0,0,1,30,0,0,0,0,analogue systems ,rs-390 ,dorremifasol,Barcelona,2021/10/24,2022/10/20,2022/08/26,578
0,0,1,0,0,0,0,0,0,erica,erica fusión vco ,gorum,Tarragona,2022/03/12,2022/09/23,2022/08/26,640
0,0,0,1,359,0,0,0,0,arturia,arturia minibrute 2 ,moog1406,Girona,2021/07/19,2022/09/06,2022/08/26,1556
0,0,0,1,50,0,0,0,0,eurorack,fuente alimentación eurorack + bus board ,cvsequencer,Barcelona,2022/08/05,2022/09/25,2022/08/26,236
0,0,0,1,850,0,0,0,0,roland,piano roland vr-730 ,andres,Madrid,2022/06/28,2022/08/27,2022/08/26,476
0,0,0,1,325,0,0,0,0,wersi,wersi ex10r expander with 8-bit drums 1985 ,Samsimo,Madrid,2021/04/20,2022/09/06,2022/08/26,1413
0,0,0,1,225,0,0,0,0,dynacord,"electrovoice fx70 emulador leslie de rack, igual al dynacord dls223 ",paugui,Sevilla,2021/05/01,2022/09/18,2022/08/26,440
0,0,0,1,560,0,0,0,0,yamaha,yamaha p-125 b ,daniello87,A Coruña,2022/07/09,2022/09/06,2022/08/26,304
0,0,1,0,199,0,0,0,0,elektron,elektron model cycles no ,ElmoreFreak,Las Palmas,2022/06/08,2022/09/20,2022/08/26,720
0,0,0,1,20,0,0,0,0,-,"orejas rack neutron, pro 1, k2 80hp fin stock env incl ",PETZOO,Cádiz,2021/01/22,2022/09/23,2022/08/26,1306
0,0,0,1,390,0,0,0,0,xaoc,xaoc moskwa ii+ ostankino ii ,Sergi,Alicante,2022/07/20,2022/09/23,2022/08/26,341
0,0,0,1,60,0,0,0,0,doepfer,modulo eurorack doepfer a-110-1 ,javi_randoom,Madrid,2022/08/05,2022/09/11,2022/08/26,172
0,0,0,1,450,0,0,0,0,korg,sintetizador piano korg n1 88 teclas contrapesadas ,jordipares3,Girona,2021/09/18,2022/09/21,2022/08/26,2612
0,0,0,1,725,0,0,0,0,roland,roland fa 06 ,jordi61,Barcelona,2022/08/21,2022/10/20,2022/08/26,88
0,0,0,1,600,0,0,0,0,yamaha,yamaha cs-5 ,BuenMambo,Madrid,2022/07/29,2022/09/25,2022/08/26,556
0,0,0,1,1750,0,0,0,0,nord wave ,teclado 2 ,dorremifasol,Barcelona,2022/07/17,2022/09/20,2022/08/26,684
0,0,0,1,260,0,0,0,0,korg,korg kaossilator pro + ,Tangential,León,2022/07/11,2022/09/09,2022/08/26,167
0,0,0,1,239,0,0,0,0,novation,novation launchpad mkiii + deksaver ,moog1406,Girona,2021/04/12,2022/09/15,2022/08/26,1038
0,0,0,1,200,0,0,0,0,-,nord drum synth ,Synthaddict,Madrid,2022/08/19,2022/09/21,2022/08/26,312
0,1,0,0,0,0,0,0,0,korg,orejas korg dsm-1 ,mentemodular,Gipuzkoa,2020/05/04,2022/09/07,2022/08/26,400
0,0,0,1,400,0,0,0,0,erica,erica synths bassline db-01 ,Álvaro,Sevilla,2022/07/28,2022/09/26,2022/08/26,324
0,0,0,1,2750,0,0,0,0,elektron,elektron monomachine sfx60 mk2 ,angelmahon,Valencia,2022/08/05,2022/10/07,2022/08/26,334
0,0,1,0,0,0,0,0,0,roland,roland vs 24000 cd + monitor ,elprofesordedanza,Tarragona,2022/07/29,2022/09/20,2022/08/26,334
0,0,0,1,50,0,0,0,0,eurorack,pack proyecto eurorack ,cvsequencer,Barcelona,2022/08/05,2022/09/25,2022/08/26,364
0,0,0,1,35,0,0,0,0,-,funda para teclado de 5 octavas ,bioroide,Madrid,2021/04/01,2022/09/18,2022/08/26,978
0,0,0,1,79,0,0,0,0,audio,grey audio 3340 ,moog1406,Girona,2021/10/08,2022/10/08,2022/08/26,449
1,0,0,1,950,0,0,0,0,roland,roland tr-707 hka upgrade ,angelmahon,Valencia,2022/06/29,2022/08/28,2022/08/26,460
0,0,0,1,550,0,0,0,0,acidlab,acidlab drumatix 606 ,Aponsa,Barcelona,2022/08/19,2022/10/16,2022/08/26,238
0,0,0,1,1190,0,0,0,0,roland,roland jx 3p + mode machine dt 200 ,moog1406,Girona,2022/05/10,2022/09/14,2022/08/26,480
0,0,0,1,400,0,0,0,0,vermona,vermona drm mkii ,MZ,Burgos,2021/10/22,2022/10/24,2022/08/26,848
0,0,0,1,150,0,0,0,0,roland,roland d110 – sintetizador digital + tarjeta pn-d10-01 ,alcachofazul,Madrid,2022/07/29,2022/09/25,2022/08/26,334
0,1,0,0,0,0,0,0,0,-,landscape stereo field ,Joel,Zaragoza,2022/08/05,2022/10/07,2022/08/26,144
0,1,1,0,0,0,0,0,0,mutable,modulos mutable instruments ,Sonitec,Valencia,2022/08/12,2022/10/13,2022/08/26,168
0,0,0,1,490,0,0,0,0,-,sintetizador dsi tetra envío incluido ,djoy,Albacete,2022/08/26,2022/10/25,2022/08/26,112
0,0,0,1,185,0,0,0,0,yamaha,yamaha rm50 rhythm sound module ,yosualogan,Cantabria,2022/05/07,2022/09/21,2022/08/26,630
0,0,0,1,220,0,0,0,0,-,euclidean circles + six switches expansion ,Hypnosia,Lugo,2022/08/23,2022/10/22,2022/08/26,106
0,0,0,1,50,0,0,0,0,doepfer,modulo eurorack doepfer a-142-1 ,javi_randoom,Madrid,2022/08/05,2022/09/22,2022/08/26,1064
0,0,0,1,225,0,0,0,0,tiptop,tiptop z-dsp + dragonfly delay broken silicon + error codes 1 ,Manuel B,Baleares,2021/03/13,2022/10/11,2022/08/26,1453
0,1,0,0,0,0,0,0,0,doepfer,doepfer a-192-2 ,Wallace,La Rioja,2021/03/13,2022/10/24,2022/08/26,60
0,0,0,1,790,0,0,0,0,eurorack,caja eurorack ,moog1406,Girona,2022/04/08,2022/09/08,2022/08/26,650
0,0,0,1,1000,0,0,0,0,novation,novation supernova ii en teclado ,Albin Nox,Granada,2022/08/23,2022/10/22,2022/08/26,179
0,1,0,0,0,0,0,0,0,doepfer,doepfer a-160-2 ,Wallace,La Rioja,2022/07/08,2022/09/24,2022/08/26,168
0,0,0,1,650,0,0,0,0,nord rack ,1 ,Kaesar,Barcelona,2022/05/10,2022/10/10,2022/08/26,437
